day,simulated_lead_time,status,scenario
1,0.0,STRESSED,Southeast Asia's Megafire
2,24.51723754130122,STRESSED,Southeast Asia's Megafire
3,0.0,STRESSED,Southeast Asia's Megafire
4,2.825222233115764,STRESSED,Southeast Asia's Megafire
5,0.28926313016308747,STRESSED,Southeast Asia's Megafire
6,7.518816511680431,STRESSED,Southeast Asia's Megafire
7,3.4000111563314857,STRESSED,Southeast Asia's Megafire
8,16.799418186328985,STRESSED,Southeast Asia's Megafire
9,1.3799396414580305,STRESSED,Southeast Asia's Megafire
10,4.412634616254442,STRESSED,Southeast Asia's Megafire
11,2.243126494311033,STRESSED,Southeast Asia's Megafire
12,2.7909234723904697,STRESSED,Southeast Asia's Megafire
13,0.0,STRESSED,Southeast Asia's Megafire
14,6.957656237777744,STRESSED,Southeast Asia's Megafire
